Instance,Min
t1_0237,68642
t1_0238,67623
t1_0239,66537
t1_0240,64137
t1_0241,210347
t1_0242,217564
t1_0243,205914
t1_0244,180417
t1_0245,204312
t1_0246,222421
t1_0247,196127
t1_0248,207600
t1_0249,202627
t1_0250,193502
t1_0251,194485
t1_0252,204828
t1_0253,199776
t1_0254,223651
t1_0255,179214
t1_0256,201369
t1_0257,209619
t1_0258,204408
t1_0259,198104
t1_0260,221746
t1_0261,191992
t1_0262,188159
t1_0263,194694
t1_0264,196770
t1_0265,204793
t1_0266,202495
t1_0267,211755
t1_0268,190371
t1_0269,199249
t1_0270,203790
t1_0271,220234
t1_0272,229282
t1_0273,230499
t1_0274,241670
t1_0275,230015
t1_0276,241499
t1_0277,222970
t1_0278,219190
t1_0279,234980
t1_0280,234228
t1_0281,216934
t1_0282,228683
t1_0283,228105
t1_0284,225895
t1_0285,223346
t1_0286,232412
t1_0287,234488
t1_0288,224848
t1_0289,234606
t1_0290,230491
t1_0291,226977
t1_0292,229161
t1_0293,217739
t1_0294,233801
t1_0295,230995
t1_0296,225707
t1_0297,226029
t1_0298,223573
t1_0299,232397
t1_0300,236871
t1_0301,241767
t1_0302,242439
t1_0303,245702
t1_0304,244408
t1_0305,247163
t1_0306,244735
t1_0307,241566
t1_0308,233944
t1_0309,239011
t1_0310,255010
t1_0311,237497
t1_0312,228136
t1_0313,240644
t1_0314,247830
t1_0315,244763
t1_0316,238385
t1_0317,248612
t1_0318,231083
t1_0319,236006
t1_0320,233646
t1_0321,239176
t1_0322,245369
t1_0323,247741
t1_0324,232869
t1_0325,241440
t1_0326,249712
t1_0327,249594
t1_0328,249687
t1_0329,245479
t1_0330,238904
t1_0331,248203
t1_0332,243398
t1_0333,251956
t1_0334,259674
t1_0335,253222
t1_0336,254852
t1_0337,257029
t1_0338,252906
t1_0339,248241
t1_0340,263225
t1_0341,251789
t1_0342,251196
t1_0343,249323
t1_0344,253032
t1_0345,255950
t1_0346,256791
t1_0347,252175
t1_0348,255599
t1_0349,261797
t1_0350,258787
t1_0351,256766
t1_0352,252475
t1_0353,253895
t1_0354,256148
t1_0355,255124
t1_0356,260352
t1_0357,255555
t1_0358,249812
t1_0359,253392
t1_0360,250152
t1_0361,801736
t1_0362,747106
t1_0363,823817
t1_0364,810895
t1_0365,774898
t1_0366,850127
t1_0367,723343
t1_0368,776819
t1_0369,789154
t1_0370,788587
t1_0371,810209
t1_0372,788012
t1_0373,742496
t1_0374,780910
t1_0375,720211
t1_0376,788685
t1_0377,785572
t1_0378,752010
t1_0379,817391
t1_0380,785380
t1_0381,811552
t1_0382,760645
t1_0383,805638
t1_0384,735676
t1_0385,761603
t1_0386,825798
t1_0387,807912
t1_0388,746347
t1_0389,825134
t1_0390,779441
t1_0391,853813
t1_0392,891180
t1_0393,881904
t1_0394,910644
t1_0395,895078
t1_0396,878733
t1_0397,905425
t1_0398,842553
t1_0399,883571
t1_0400,877882
t1_0401,847212
t1_0402,884447
t1_0403,896220
t1_0404,907913
t1_0405,854512
t1_0406,881198
t1_0407,903558
t1_0408,901554
t1_0409,862876
t1_0410,877533
t1_0411,867557
t1_0412,904106
t1_0413,882274
t1_0414,908515
t1_0415,882331
t1_0416,893329
t1_0417,948731
t1_0418,883205
t1_0419,877886
t1_0420,875568
t1_0421,951127
t1_0422,934607
t1_0423,944180
t1_0424,931966
t1_0425,946842
t1_0426,939122
t1_0427,912167
t1_0428,954591
t1_0429,941725
t1_0430,950356
t1_0431,918286
t1_0432,956298
t1_0433,955939
t1_0434,929982
t1_0435,916159
t1_0436,948725
t1_0437,908437
t1_0438,922612
t1_0439,920401
t1_0440,948443
t1_0441,938753
t1_0442,946982
t1_0443,909048
t1_0444,953941
t1_0445,942888
t1_0446,969231
t1_0447,952347
t1_0448,952252
t1_0449,927577
t1_0450,921847
t1_0451,984420
t1_0452,995103
t1_0453,1001937
t1_0454,975261
t1_0455,1003757
t1_0456,978005
t1_0457,984934
t1_0458,988486
t1_0459,954874
t1_0460,994772
t1_0461,1006589
t1_0462,978562
t1_0463,972741
t1_0464,965823
t1_0465,986047
t1_0466,1009631
t1_0467,959141
t1_0468,990561
t1_0469,978271
t1_0470,989515
t1_0471,976186
t1_0472,985190
t1_0473,975782
t1_0474,987183
t1_0475,986956
t1_0476,978057
t1_0477,980404
t1_0478,974581
t1_0479,979751
t1_0480,971012
