Instance,Min
t1s_0162,3380
t1s_0163,2994
t1s_0164,2986
t1s_0165,2763
t1s_0166,3267
t1s_0167,3028
t1s_0168,2863
t1s_0169,3066
t1s_0170,3077
t1s_0171,2827
t1s_0172,2349
t1s_0173,3165
t1s_0174,3191
t1s_0175,2653
t1s_0176,2883
t1s_0177,2768
t1s_0178,3577
t1s_0179,3207
t1s_0180,2917
t1s_0181,3956
t1s_0182,3306
t1s_0183,3363
t1s_0184,3899
t1s_0185,3082
t1s_0186,3172
t1s_0187,3263
t1s_0188,3677
t1s_0189,3475
t1s_0190,3288
t1s_0191,3453
t1s_0192,3457
t1s_0193,3659
t1s_0194,3204
t1s_0195,3123
t1s_0196,3373
t1s_0197,3342
t1s_0198,3392
t1s_0199,3535
t1s_0200,3380
t1s_0201,2954
t1s_0202,3154
t1s_0203,2982
t1s_0204,3831
t1s_0205,3069
t1s_0206,3110
t1s_0207,3525
t1s_0208,3513
t1s_0209,3360
t1s_0210,3368
t1s_0211,3697
t1s_0212,3343
t1s_0213,3811
t1s_0214,3761
t1s_0215,3663
t1s_0216,3401
t1s_0217,3134
t1s_0218,3449
t1s_0219,3376
t1s_0220,3376
t1s_0221,3167
t1s_0222,3681
t1s_0223,3476
t1s_0224,3554
t1s_0225,3682
t1s_0226,3529
t1s_0227,3419
t1s_0228,3695
t1s_0229,3236
t1s_0230,3797
t1s_0231,3481
t1s_0232,3579
t1s_0233,3404
t1s_0234,3749
t1s_0235,3709
t1s_0236,3547
t1s_0237,3480
t1s_0238,3473
t1s_0239,3671
t1s_0240,3759
t1s_0241,3573
t1s_0242,2869
t1s_0243,3695
t1s_0244,3767
t1s_0245,3836
t1s_0246,3620
t1s_0247,3327
t1s_0248,2709
t1s_0249,3236
t1s_0250,2783
t1s_0251,4389
t1s_0252,4313
t1s_0253,2856
t1s_0254,3827
t1s_0255,3453
t1s_0256,4092
t1s_0257,2964
t1s_0258,3584
t1s_0259,2777
t1s_0260,2921
t1s_0261,3277
t1s_0262,3317
t1s_0263,3398
t1s_0264,3328
t1s_0265,2781
t1s_0266,3679
t1s_0267,3223
t1s_0268,2487
t1s_0269,3129
t1s_0270,3354
t1s_0271,3848
t1s_0272,3625
t1s_0273,4375
t1s_0274,4318
t1s_0275,4331
t1s_0276,4051
t1s_0277,4073
t1s_0278,4431
t1s_0279,3935
t1s_0280,3949
t1s_0281,4449
t1s_0282,4165
t1s_0283,4264
t1s_0284,3752
t1s_0285,4969
t1s_0286,4587
t1s_0287,4338
t1s_0288,3875
t1s_0289,3734
t1s_0290,4393
t1s_0291,4575
t1s_0292,3999
t1s_0293,3414
t1s_0294,4106
t1s_0295,3780
t1s_0296,3855
t1s_0297,4165
t1s_0298,4650
t1s_0299,4167
t1s_0300,3566
t1s_0301,4597
t1s_0302,5147
t1s_0303,4934
t1s_0304,5267
t1s_0305,4541
t1s_0306,4652
t1s_0307,4020
t1s_0308,4644
t1s_0309,4712
t1s_0310,4115
t1s_0311,4456
t1s_0312,4906
t1s_0313,4769
t1s_0314,4899
t1s_0315,4784
t1s_0316,4619
t1s_0317,4292
t1s_0318,4405
t1s_0319,4119
t1s_0320,4970
t1s_0321,4898
t1s_0322,4966
t1s_0323,4692
t1s_0324,4437
t1s_0325,4435
t1s_0326,4395
t1s_0327,4562
t1s_0328,4417
t1s_0329,4707
t1s_0330,4800
t1s_0331,4963
t1s_0332,4930
t1s_0333,5057
t1s_0334,4854
t1s_0335,4701
t1s_0336,5423
t1s_0337,4877
t1s_0338,4907
t1s_0339,4965
t1s_0340,4587
t1s_0341,4695
t1s_0342,5116
t1s_0343,4839
t1s_0344,4688
t1s_0345,4582
t1s_0346,4874
t1s_0347,4639
t1s_0348,4814
t1s_0349,4786
t1s_0350,5076
t1s_0351,4757
t1s_0352,5161
t1s_0353,4696
t1s_0354,5101
t1s_0355,4635
t1s_0356,4778
t1s_0357,5430
t1s_0358,4868
t1s_0359,5042
t1s_0360,5112
